N° de venda,ID do pedido,Total BRL,Número da nota,Numero_sem_parcela,Valor da nota,Plataforma,Situação,Ação sugerida,Valor a receber,Valor pago,Diferença,Data de pagamento,Data de emissão,empresa
2000015287066324,2000015287066324,561.34,009577,9577,466.99,Mercado Livre,Pago,Ok,561.34,561.34,0.0,2026-03-25 10:19:30,2026-02-26,Antomóveis
2000015305294758,2000015305294758,611.34,009590,9590,516.99,Mercado Livre,Atrasada,Verificar recebimento,611.34,0.0,611.34,2026-03-26 10:59:24,2026-02-27,Antomóveis
2000015312861722,2000015312861722,0.0,009579,9579,300.99,Mercado Livre,Atrasada,Verificar recebimento,0.0,-0.0,0.0,2026-02-27 19:40:56,2026-02-27,Antomóveis
2000015316655038,2000015316655038,651.34,009592,9592,556.99,Mercado Livre,Pago,Ok,651.34,651.34,0.0,2026-03-18 19:44:28,2026-02-27,Antomóveis
2000015326244014,2000015326244014,307.09,009638,9638,300.99,Mercado Livre,Pago,Ok,307.09,307.09,0.0,2026-03-15 11:10:59,2026-03-03,Antomóveis
2000015350382912,2000015350382912,561.34,009636,9636,466.99,Mercado Livre,Pago,Ok,561.34,561.34,0.0,2026-03-29 19:06:23,2026-03-02,Antomóveis
2000015358644242,2000015358644242,351.34,009680,9680,335.99,Mercado Livre,Pago,Ok,351.34,351.34,0.0,2026-03-19 17:22:34,2026-03-06,Antomóveis
2000015360164656,2000015360164656,0.0,009679,9679,335.99,Mercado Livre,Em aberto,Verificar recebimento,0.0,-0.0,0.0,2026-03-20 13:18:12,2026-03-06,Antomóveis
2000015424617666,2000015424617666,346.14,009869,9869,335.99,Mercado Livre,Pago,Ok,346.14,346.14,0.0,2026-03-30 08:56:46,2026-03-18,Antomóveis
2000015437098192,2000015437098192,359.34,009749,9749,346.43,Mercado Livre,Pago,Ok,359.34,359.34,0.0,2026-03-20 15:46:42,2026-03-10,Antomóveis
2000015447134522,2000015447134522,359.34,009883,9883,346.43,Mercado Livre,Em aberto,Baixar no Bling,359.34,359.34,0.0,2026-04-02 10:31:51,2026-03-19,Antomóveis
2000015458751080,2000015458751080,359.34,009792,9792,346.43,Mercado Livre,Pago,Ok,359.34,359.34,0.0,2026-03-25 16:21:27,2026-03-13,Antomóveis
2000015464826188,2000015464826188,301.89,009763,9763,300.99,Mercado Livre,Pago,Ok,301.89,301.89,0.0,2026-03-22 09:30:04,2026-03-11,Antomóveis
2000015466903302,2000015466903302,359.34,009762,9762,346.43,Mercado Livre,Pago,Ok,359.34,359.34,0.0,2026-03-24 10:14:29,2026-03-11,Antomóveis
2000015469292010,2000015469292010,833.04,009759,9759,720.99,Mercado Livre,Pago,Ok,833.04,833.04,0.0,2026-03-23 07:27:54,2026-03-10,Antomóveis
2000015500143428,2000015500143428,346.84,009779,9779,346.43,Mercado Livre,Pago,Ok,346.84,346.84,0.0,2026-03-23 10:02:35,2026-03-12,Antomóveis
2000015540460344,2000015540460344,346.84,009847,9847,346.43,Mercado Livre,Pago,Ok,346.84,346.84,0.0,2026-03-28 11:40:28,2026-03-17,Antomóveis
2000015550875502,2000015550875502,346.84,009846,9846,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-03-31 11:00:37,2026-03-17,Antomóveis
2000015563938452,2000015563938452,346.84,009893,9893,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-02 11:50:07,2026-03-20,Antomóveis
2000015569014322,2000015569014322,346.84,009892,9892,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-02 18:07:46,2026-03-20,Antomóveis
